S.no.,Name of State,Name of District,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%),
1,ANDHRA PRADESH,Anantapur,142953.85,14884.94,157838.79,21623.75,59410.09,88.96,
2,ANDHRA PRADESH,Chittoor,95256.5,9597.29,104853.79,13528.83,80858.36,58.92,
3,ANDHRA PRADESH,East Godavari,41688.32,9418.15,51106.47,4226.85,193656.03,21.17,
4,ANDHRA PRADESH,Guntur,39174.72,8942.35,48117.07,14159.1,79051.91,38.57,
5,ANDHRA PRADESH,Kadapa,74888.06,4974.42,79862.47,6110.25,56568.63,68.68,
6,ANDHRA PRADESH,Krishna,47223.03,9772.8,56995.83,7402.78,98790.07,36.87,
7,ANDHRA PRADESH,Kurnool,53291.48,11008.68,64300.17,16377.9,94278.99,41.81,
8,ANDHRA PRADESH,Nellore,90301.92,6408.13,96710.05,11024.36,159531.34,37.93,
9,ANDHRA PRADESH,Prakasam,54372.39,10257.26,64629.64,17557.06,94941.54,42.79,
10,ANDHRA PRADESH,Srikakulam,40762.37,8747.99,49510.36,17007.28,63919.93,48.22,
11,ANDHRA PRADESH,Visakhapatnam,12608.08,6496.48,19104.57,7980.54,59560.86,24.59,
12,ANDHRA PRADESH,Vizianagaram,20595.54,511.42,21106.97,4922,77587.51,21.07,
13,ANDHRA PRADESH,West Godavari,71924.15,3642.89,75567.04,6028.8,113241.04,41.4,
14,ARUNACHAL PRADESH,Anjaw,NA,0,NA,NA,NA,NA,
15,ARUNACHAL PRADESH,Changlang,0,174,174,571.87,23350.98,0.73,
16,ARUNACHAL PRADESH,Dibang Valley,NA,0,NA,NA,NA,NA,
17,ARUNACHAL PRADESH,East Kameng,0,25,25,169.06,8766.2,0.28,
18,ARUNACHAL PRADESH,East Siang,0,65,65,176.16,68855.68,0.09,
19,ARUNACHAL PRADESH,Kurung Kumey,NA,0,NA,NA,NA,NA,
20,ARUNACHAL PRADESH,Lohit,0,218.48,218.48,666,78900.96,0.27,
21,ARUNACHAL PRADESH,Lower Dibang Valley,0,32,32,62.4,54973.98,0.06,
22,ARUNACHAL PRADESH,Lower Subansiri,0,18,18,105.2,2550.48,0.68,
23,ARUNACHAL PRADESH,Papum Pare,0,99.4,99.4,492.34,9239.72,1.02,
24,ARUNACHAL PRADESH,Tawang,NA,0,NA,NA,NA,NA,
25,ARUNACHAL PRADESH,Tirap,0,63,63,135.25,7360.23,0.84,
26,ARUNACHAL PRADESH,Upper Siang,NA,0,NA,NA,NA,NA,
27,ARUNACHAL PRADESH,Upper Subansiri,0,16,16,107.25,844.74,1.68,
28,ARUNACHAL PRADESH,West Kameng,0,11.72,11.72,30.26,3535.72,0.33,
29,ARUNACHAL PRADESH,West Siang,0,21.9,21.9,43.72,5715.34,0.38,
30,ASSAM,Baksa,2548.56,2558.8,5107.36,2970.09,101465.32,4.77,
31,ASSAM,Barpeta,24276,4407.4,28683.4,5158.32,109421.07,20.66,
32,ASSAM,Bongaigaon,10024.56,1996.55,12021.11,2286.71,46236.65,20.52,
33,ASSAM,Cachar,0,4628.94,4628.94,5262.84,50985.94,8.21,
34,ASSAM,Chirang,1522.08,1170.95,2693.03,1279.67,84031.49,3.1,
35,ASSAM,Darrang,15469.44,2365.16,17834.6,2703.49,36839.32,32.38,
36,ASSAM,Dhemaji,1631.28,1618.94,3250.22,1851.97,181874.23,1.75,
37,ASSAM,Dhubri,23570.4,4715.35,28285.75,5648.33,86172.85,24.51,
38,ASSAM,Dibrugarh,4890.48,3462.75,8353.23,3571.33,140417.47,5.6,
39,ASSAM,Dima Hasao,337.68,494.7,832.38,543.87,3123.19,20.75,
40,ASSAM,Goalpara,9866.64,2292.6,12159.24,2703.66,71307.97,14.49,
41,ASSAM,Golaghat,3677.52,1980.97,5658.49,2067.86,97757.82,5.46,
42,ASSAM,Hailakandi,5.04,1020.45,1025.49,1019.71,19586.39,4.94,
43,ASSAM,Jorhat,4215.12,2279.33,6494.45,2398.33,79116.95,7.57,
44,ASSAM,Kamrup,20144.88,3966.07,24110.95,3892.27,55258.35,30.21,
45,ASSAM,Kamrup Metro (Rural),1537.2,1544.84,3082.04,324.25,19209.27,13.8,
46,ASSAM,Kamrup Metro (U),0,2982.74,2982.74,1782.24,3572.7,45.34,
47,ASSAM,Karbi Anglong,342.72,1062.26,1404.98,957.57,27920.37,4.77,
48,ASSAM,Karimganj,80.64,1255.29,1335.93,1454.08,46295.22,2.79,
49,ASSAM,Kokrajhar,5913.6,622.33,6535.93,649.54,191036.05,3.31,
50,ASSAM,Lakhimpur,3044.16,2461.34,5505.5,2763.82,107715.92,4.85,
51,ASSAM,Morigaon,10777.2,2529.02,13306.22,2972.72,29897.9,30.47,
52,ASSAM,Nagaon,26891.76,7528.91,34420.67,8626.62,89105.22,27.57,
53,ASSAM,Nalbari,7153.44,1561.72,8715.16,1704.8,25045.54,25.7,
54,ASSAM,Sivasagar,2437.68,2973.66,5411.34,3064.83,49606.31,9.8,
55,ASSAM,Sonitpur,8611.68,6021.04,14632.72,5699.88,172455.05,7.79,
56,ASSAM,Tinsukia,4033.68,3556.21,7589.89,3829.26,160285.02,4.51,
57,ASSAM,Udalguri,4467.12,2279.87,6746.99,2065.36,57236.98,10.52,
58,BIHAR,Araria,11922.9,6109.18,18032.08,5183.95,73848.23,19.63,
59,BIHAR,Arwal,6339.79,1833.44,8173.23,1425.81,13022.22,38.56,
60,BIHAR,Aurangabad,20499.58,5720.93,26220.51,4426.7,72357.9,26.6,
61,BIHAR,Banka,11808.54,4386.66,16195.2,3584.41,30658.22,34.58,
62,BIHAR,Begusarai,26045.4,7604.38,33649.78,5862.49,30677.92,52.31,
63,BIHAR,Bhabhua,25513.2,4323.31,29836.51,2893.2,60064.77,33.19,
64,BIHAR,Bhagalpur,13838,5529.83,19367.83,4480.55,51123.98,27.48,
65,BIHAR,Bhojpur,40226.48,7199.1,47425.58,4871.23,37317.37,55.96,
66,BIHAR,Buxar,26289,4253.28,30542.28,2781.88,28706.97,51.55,
67,BIHAR,Darbhanga,20754.3,9312.23,30066.53,7743.63,57915.45,34.17,
68,BIHAR,East Champaran,44138.44,11855.79,55994.23,9087.7,77714.64,41.88,
69,BIHAR,Gaya,59207.33,11697.34,70904.67,8130.99,38745.06,65.75,
70,BIHAR,Gopalganj,52663.2,7420.54,60083.74,4520.71,23024.45,73.43,
71,BIHAR,Jamui,8131.51,3674.51,11806.02,3074.42,25145.36,31.95,
72,BIHAR,Jehanabad,27537.99,3438.59,30976.58,1940.81,2280.46,95.71,
73,BIHAR,Katihar,55644.33,8177.77,63822.1,5102.41,36331.5,63.72,
74,BIHAR,Khagaria,18258.48,3935.18,22193.66,2860.13,46434.23,32.34,
75,BIHAR,Kishanganj,11648.7,3715.82,15364.52,2947.46,55688.2,21.62,
76,BIHAR,Lakhisarai,6478.48,2168.43,8646.91,1729.15,20659,29.86,
77,BIHAR,Madhepura,29938.95,5298.5,35237.45,3586.48,25234.8,58.27,
78,BIHAR,Madhubani,29360.7,9527.88,38888.58,7632.42,67029.18,36.72,
79,BIHAR,Munger,8305.8,2994.2,11300,2401.24,22988.52,33.05,
80,BIHAR,Muzaffarpur,62215.71,12168.96,74384.67,8517.04,36390.05,67.55,
81,BIHAR,Nalanda,47302.64,7943.75,55246.39,5217.06,25190.6,68.84,
82,BIHAR,Nawada,26098.05,4666.67,30764.72,3150.74,27342.98,52.94,
83,BIHAR,Patna,42572.72,13373.5,55946.22,10340.92,37411.34,60.06,
84,BIHAR,Purnia,52635.73,8493.22,61128.95,5527.68,49581.82,55.21,
85,BIHAR,Rohtas,19053.39,6597.77,25651.16,5296.95,79936.95,24.29,
86,BIHAR,Saharsa,16507.2,4100.48,20607.68,3103.05,29888.01,40.81,
87,BIHAR,Samastipur,49445.7,10094.13,59539.83,7225.88,66457.14,47.25,
88,BIHAR,Saran,42716.7,9481.13,52197.83,6929.46,29757.9,63.69,
89,BIHAR,Sheihkpura,6720.9,1609.62,8330.52,1188.88,13388.26,38.36,
90,BIHAR,Sheohar,6048,1544.74,7592.74,1172.87,5509.43,57.95,
91,BIHAR,Sitamarhi,22680.86,7349.44,30030.3,5876.09,35392.79,45.9,
92,BIHAR,Siwan,42117.26,8036.56,50153.82,5617.81,38134.89,56.81,
93,BIHAR,Supaul,25006.95,5253.79,30260.74,3790.76,55431.73,35.31,
94,BIHAR,Vaishali,35099.18,8458.45,43557.63,6338.43,26764.35,62.28,
95,BIHAR,West Champaran,27144.2,9152.99,36297.19,7359.06,124698.75,22.55,
96,CHATTISGARH,Balod,18571.03,2238.51,20809.54,2290.93,11090.46,64.79,
97,CHATTISGARH,Baloda Bazar,17672.41,4141.52,21813.93,5427.57,31348.53,40.06,
98,CHATTISGARH,Balrampur,14188.27,1825.95,16014.22,2110.62,34968.13,31.24,
99,CHATTISGARH,Bastar,5618.18,2116.04,7734.22,2347.48,21621.62,26.1,
100,CHATTISGARH,Bemetara,28286.77,2028.02,30314.79,2533.94,7969.48,78.06,
101,CHATTISGARH,Bijapur,1874.06,620.63,2494.7,689.28,32938.55,7.03,
102,CHATTISGARH,Bilaspur,17798.32,6119.32,23917.64,7028.27,20327.51,52.36,
103,CHATTISGARH,Dantewara,2138.23,694.31,2832.54,758.4,17019.83,14.22,
104,CHATTISGARH,Dhamtari,22854.81,2038.64,24893.45,2139.5,13945.24,63.78,
105,CHATTISGARH,Durg,17603.39,5465.05,23068.44,5023.17,5250.29,82.55,
106,CHATTISGARH,Gariaband,14842.44,1511.78,16354.22,1761.03,14757.02,52.14,
107,CHATTISGARH,Janjgir-Champa,14528.66,4395.31,18923.97,4892.86,20425.23,47.23,
108,CHATTISGARH,Jashpur,11849.74,2095.23,13944.96,2271.17,21515.61,39.09,
109,CHATTISGARH,Kanker,19918.75,1851.17,21769.92,2086.98,44291.49,32.84,
110,CHATTISGARH,Kawardha,25294.34,2223.17,27517.51,2633.37,15076.45,63.92,
111,CHATTISGARH,Kondagaon,11238.13,1428.63,12666.76,1610.41,19732.7,38.88,
112,CHATTISGARH,Korba,8159.85,4379.07,12538.91,3710.71,21923.8,35.85,
113,CHATTISGARH,Koriya,7799.24,1659.71,9458.95,1783.71,36178.96,20.66,
114,CHATTISGARH,Mahasamund,33144.4,2621.26,35765.66,2964.64,23990.11,59.48,
115,CHATTISGARH,Mungeli,6591.88,1629.55,8221.43,2415.75,6117.5,54.35,
116,CHATTISGARH,Narayanpur,643.2,343.97,987.17,383.57,24227.42,3.91,
117,CHATTISGARH,Raigarh,16093.58,4198.77,20292.35,4318.72,20327.56,49.29,
118,CHATTISGARH,Raipur,17410.21,6839.51,24249.72,7555.95,13657.07,62.64,
119,CHATTISGARH,Rajnandgaon,32625,4304.56,36929.55,5171.94,26039.09,57.75,
120,CHATTISGARH,Sukma,890.28,587.34,1477.62,627.3,27606.61,5.07,
121,CHATTISGARH,Surajpur,18359.7,1957.13,20316.82,2221.79,16979.21,54.08,
122,CHATTISGARH,Surguja,12120.05,2098.38,14218.42,2364.64,27047.9,34.23,
123,DELHI,Central Delhi,189.51,1731.5,1921.01,1984.84,292.4,80.84,
124,DELHI,East Delhi,690,811.5,1501.5,817.63,4.34,108.45,
125,DELHI,New Delhi,955.13,4172.89,5128.02,4046.05,0,159.42,
126,DELHI,North Delhi,1868.23,5792.21,7660.44,6729.57,913.93,84,
127,DELHI,North East Delhi,329.01,821.38,1150.39,964.82,0,117.66,
128,DELHI,North West Delhi,711.59,2048.86,2760.45,2245.11,978.15,69.65,
129,DELHI,Shahdara,57.36,884.24,941.6,930.15,0,166.99,
130,DELHI,South Delhi,466.71,4137.8,4604.51,4115.11,0,254.87,
131,DELHI,South East Delhi,1426.64,1852.46,3279.1,2043.82,0,209.54,
132,DELHI,South West Delhi,2075.54,2407.11,4482.64,2481.72,0,209.25,
133,DELHI,West Delhi,283.79,1876.84,2160.63,2049.22,8,90.03,
134,DELHI,Non Revenue Unit,0,400,400,472.35,102.61,69.57,
135,GOA,North Goa,1009.71,1847.14,2856.85,2037.45,4728.36,29.69,
136,GOA,South Goa,1048.14,1466.37,2514.51,1631.79,2264.45,39.22,
137,GUJARAT,Ahmedabad,35902.2,3671.97,39574.17,3974,14527.39,72.01,
138,GUJARAT,Amreli,70915.6,2344.18,73259.78,2600,45969.04,61.13,
139,GUJARAT,Anand,24645.9,3410.7,28056.6,3774,35455.75,43.57,
140,GUJARAT,Arvalli,34789.5,1699.62,36489.12,1935,26582.93,57.41,
141,GUJARAT,Banaskantha,153015.9,4476.37,157492.27,4842,11310.77,112.34,
142,GUJARAT,Bharuch,15136.7,1738.53,16875.23,2813,32579.11,33.23,
143,GUJARAT,Bhavnagar,43098.3,3253.53,46351.83,4659,29617.87,59.53,
144,GUJARAT,Botad,21385.1,995.31,22380.41,1237,12825.8,62.87,
145,GUJARAT,Chhota udepur,14573.4,1688.53,16261.93,1991,17027.47,48.05,
146,GUJARAT,Dahod,14643.2,3429,18072.2,4232,20020.5,45.86,
147,GUJARAT,Dang,610,386.8,996.8,455,7021.77,12.24,
148,GUJARAT,Devbhumi Dwarka,17533.8,1061.71,18595.51,1370,9858.42,64.3,
149,GUJARAT,Gandhinagar,51114,2263.7,53377.7,2498,0,113.55,
150,GUJARAT,Gir Somnath,28808.8,1314.78,30123.58,3512,16652.61,61.26,
151,GUJARAT,Jamnagar,45686.9,1970.47,47657.37,2561,26775.88,63.27,
152,GUJARAT,Junagadh,61232.55,2334.31,63566.86,2733,34628.52,64.25,
153,GUJARAT,Kachchh,68013.5,2235.48,70248.98,3918,13896.67,83.87,
154,GUJARAT,Kheda,29286.4,3270.14,32556.54,3714,33177.03,48.83,
155,GUJARAT,Mahesana,122279.1,3117.39,125396.49,3383,900.7,114.84,
156,GUJARAT,Mahisagar,11979.5,1651.7,13631.2,1879,21086.45,38.73,
157,GUJARAT,Morbi,32588.8,1135.66,33724.46,1713,21193.49,60.58,
158,GUJARAT,Narmada,3660.7,971.07,4631.77,1092,19020.22,19.37,
159,GUJARAT,Navsari,18422.5,2121.3,20543.8,2272,36211.93,35.9,
160,GUJARAT,Panchmahal,11934.5,2742.92,14677.42,3148,24660.59,36.55,
161,GUJARAT,Patan,37697.5,869.13,38566.63,968,611.05,100.8,
162,GUJARAT,Porbandar,14175,563.14,14738.14,1013,5413.36,71.33,
163,GUJARAT,Rajkot,93071.3,2884.45,95955.75,3444,51777.66,64.52,
164,GUJARAT,Sabarkantha,57122.9,2332.41,59455.31,2655,24752.79,70.05,
165,GUJARAT,Surat,28865.2,3976,32841.2,4572,86042.67,27.35,
166,GUJARAT,Surendranagar,38159,1417.4,39576.4,2808,26968.04,58.07,
167,GUJARAT,Tapi,16672.9,1313.24,17986.14,1449,23641.66,42.86,
168,GUJARAT,Vadodara,52570,3506.76,56076.76,2530,41215.16,57.91,
169,GUJARAT,Valsad,14504.4,3481.62,17986.02,4491,26223.54,39.32,
170,HARYANA,Ambala,36060.44,15075,51135.44,10110,7487.45,100.55,
171,HARYANA,Bhiwani,45012,2705,47717,2796,3604.59,117.01,
172,HARYANA,Charki Dadri,25307,1368.2,26675.2,1398,2274.5,159.61,
173,HARYANA,Faridabad,12691,5860,18551,1995,0,125.86,
174,HARYANA,Fatehabad,92158,806,92964,1253,123.84,161.43,
175,HARYANA,Gurugram,21920,20202,42122,4676,0,220.8,
176,HARYANA,Hisar,65218,1052,66270,974,7248.29,103.63,
177,HARYANA,Jhajjar,20620,552,21172,701,12892.03,61.74,
178,HARYANA,Jind,99849,2188,102037,2804,6927.32,129.63,
179,HARYANA,Kaithal,101969,2806,104775,2319,0,227.88,
180,HARYANA,Karnal,113464,5232,118696,3264,2463,169.91,
181,HARYANA,Kurukshetra,66729,6279,73008,3145,0,243.99,
182,HARYANA,Mahendragarh,23266,3033,26299,3496,6124,93.82,
183,HARYANA,Mewat,17595,1130,18725,1759,2746,99.81,
184,HARYANA,Palwal,47822,2320,50142,2167,0,106.96,
185,HARYANA,Panchkula,7199,1116,8315,1038,3909,68.03,
186,HARYANA,Panipat,54100,1972,56072,1904,0,187.78,
187,HARYANA,Rewari,29559,5520,35079,5507,5597,91.28,
188,HARYANA,Rohtak,18495,560,19055,2407,12624.89,56.76,
189,HARYANA,Sirsa,128027,856,128883,1775,0,197.6,
190,HARYANA,Sonipat,63622,3232,66854,3203,11710,96.15,
191,HARYANA,Yamunanagar,62427,13065,75492,12975,1636,157.01,
192,HIMACHAL,Indora,6228.99,6994.67,13223.66,6994.67,481.54,125.05,
193,HIMACHAL,Nurpur,2474.22,1594.01,4068.23,2464,7150.58,35.42,
194,HIMACHAL,Balh,262.42,627.41,889.83,627.41,4709.11,35.88,
195,HIMACHAL,Paonta,486.65,837.3,1323.95,4758.6,1143.51,22.3,
196,HIMACHAL,Kala Amb,60.61,351,411.61,10194.8,0,385.11,
197,HIMACHAL,Nalagarh,2509.96,6005.11,8515.07,6005.11,389.8,116.58,
198,HIMACHAL,Una,7885.88,2594.23,10480.11,2594.3,2569.71,147.59,
199,HIMACHAL,Hum,326.09,73.38,399.47,326.09,0,75.5,
200,J&K,Anantnag,420.8,3664.44,4085.24,3626.64,17803.5,18.66,
201,J&K,Kulgam,147.28,1679.54,1826.82,1650.38,3603.74,33.64,
202,J&K,Pulwama,252.29,3210.77,3463.06,3195.65,9562.27,26.59,
203,J&K,Shopian,100.8,1363.04,1463.84,1336.04,3559.3,29.14,
204,J&K,Srinagar,662.26,3258.72,3920.98,3122.06,8323.4,32.02,
205,J&K,Ganderbal,420.48,357.24,777.72,336.38,2392.63,24.53,
206,J&K,Budgam,662.26,4115.48,4777.74,4036.61,11536.94,29.28,
207,J&K,Baramulla,2112.91,6845.76,8958.67,5918.26,21295.68,29.61,
208,J&K,Bandipora,367.92,1737.91,2105.83,1671.41,2081.58,50.29,
209,J&K,Kupwara,388.94,3167.58,3556.52,3132.58,12274.75,22.47,
210,J&K,Leh,89.86,1608.01,1697.87,1587.31,7402.45,18.66,
211,J&K,Kargil,24.19,62.89,87.08,58.75,544.97,13.78,
212,J&K,Jammu,8201.16,11941.63,20142.79,9513.36,43745.98,31.53,
213,J&K,Samba,1419.12,1692.41,3111.53,1566.29,7274.27,29.96,
214,J&K,Udhampur,336.38,1160.9,1497.29,1019.66,2361.09,38.81,
215,J&K,Reasi,178.7,546.62,725.33,494.06,444.02,62.03,
216,J&K,Kathua,2611.47,6370.27,8981.74,5350.61,19574.96,31.45,
217,J&K,Doda,105.12,574.74,679.86,557.14,1504.39,31.13,
218,J&K,Kishtwar,31.5,147.17,178.67,147.17,1525.56,10.48,
219,J&K,Ramban,31.5,112,143.5,94.5,1125.36,11.31,
220,J&K,Rajouri,304.5,1121.26,1425.76,1103.76,2004.98,41.56,
221,J&K,Poonch,717.5,1349,2066.5,17.5,4491.57,31.51,
222,JHARKHAND,Bokaro,2200.25,9804.63,12004.88,6031.6,13516.96,48.79,
223,JHARKHAND,Chatra,5917,2414.5,8331.5,1705.99,19254.81,30.2,
224,JHARKHAND,Deoghar,4859.63,2255.88,7115.5,2055.95,9726.51,42.25,
225,JHARKHAND,Dhanbad,2414.5,13885.65,16300.15,3784.78,5732.1,76.3,
226,JHARKHAND,Dumka,3690.75,2212.4,5903.15,2195.08,18432.14,24.26,
227,JHARKHAND,East Singhbhum,1301,3274.78,4575.78,2731.07,18415.65,19.9,
228,JHARKHAND,Garhwa,5157.63,2121.29,7278.91,2117.91,21338.55,25.44,
229,JHARKHAND,Giridih,6578.63,5008.87,11587.5,4254.41,31898,26.65,
230,JHARKHAND,Godda,1698.5,2482.25,4180.75,2171.27,15895.62,20.82,
231,JHARKHAND,Gumla,3589.5,1686.42,5275.92,1677.75,39019.42,11.91,
232,JHARKHAND,Hazaribagh,7238.25,3866.91,11105.16,3178.68,20474.48,35.17,
233,JHARKHAND,Jamtara,2060.25,1229.08,3289.33,1225.01,7327.51,30.98,
234,JHARKHAND,Khunti,2265,866.58,3131.58,859.74,10408.55,23.13,
235,JHARKHAND,Koderma,1947.38,1138.88,3086.26,1119.92,4962.08,38.35,
236,JHARKHAND,Latehar,4948.5,1382.29,6330.79,1264.98,15412.35,29.12,
